,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,30,TrialState.PRUNED,-16.82109832763672,2019-06-09 19:08:26.770162,2019-06-09 19:09:52.657401,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-19.001220703125,-26.14324951171875,-22.25687599182129,-32.328895568847656,-30.233678817749023,-49.596961975097656,-29.91165542602539,-76.17330932617188,-29.403106689453125,-16.811222076416016,-20.17389488220215,-17.829715728759766,-16.82109832763672,,,,,,
31,31,TrialState.PRUNED,-9.143561363220215,2019-06-09 19:08:29.901370,2019-06-09 19:10:32.119474,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-9.065258979797363,-11.917655944824219,-9.143561363220215,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-17.106962203979492,2019-06-09 19:09:52.744069,2019-06-09 19:10:57.897163,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-17.282312393188477,-16.43857192993164,-15.96545696258545,-15.246188163757324,-16.029476165771484,-17.106962203979492,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-7.756570339202881,2019-06-09 19:10:32.227476,2019-06-09 19:10:53.950798,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-15.190530776977539,-4.5452775955200195,-7.756570339202881,,,,,,,,,,,,,,,,
34,34,TrialState.PRUNED,-82.84225463867188,2019-06-09 19:10:54.059266,2019-06-09 19:12:50.173977,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-16.90489959716797,-20.895490646362305,-24.088228225708008,-52.54601287841797,-83.38907623291016,-83.05128479003906,-56.31694793701172,-71.65296936035156,-72.5069808959961,-73.23060607910156,-76.44392395019531,-80.70787811279297,-82.84225463867188,,,,,,
35,35,TrialState.COMPLETE,-699.0443725585938,2019-06-09 19:10:57.985009,2019-06-09 19:14:35.113786,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-16.573787689208984,-23.176311492919922,-24.66938591003418,-46.173397064208984,-46.88395309448242,-53.90331268310547,-55.55128860473633,-77.85169982910156,-91.22236633300781,-299.2160949707031,-611.9048461914062,-532.8234252929688,-676.853759765625,-611.2161865234375,-690.86962890625,-699.0443725585938,,,
36,36,TrialState.PRUNED,-22.6754207611084,2019-06-09 19:12:50.284009,2019-06-09 19:14:08.473125,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-18.144214630126953,-17.255992889404297,-16.783939361572266,-18.692136764526367,-17.707996368408203,-17.069604873657227,-22.6754207611084,,,,,,,,,,,,
37,37,TrialState.PRUNED,-40.97608184814453,2019-06-09 19:14:08.579807,2019-06-09 19:15:33.184500,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-22.507099151611328,-40.14916229248047,-60.70855712890625,-72.0694580078125,-64.37682342529297,-83.70357513427734,-84.36805725097656,-85.92941284179688,-82.33756256103516,-27.98007583618164,-94.83294677734375,-97.95503234863281,-40.97608184814453,,,,,,
38,38,TrialState.COMPLETE,-764.8482055664062,2019-06-09 19:14:35.137422,2019-06-09 19:20:11.371953,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-17.045373916625977,-18.939105987548828,-27.81414794921875,-57.38969039916992,-67.84784698486328,-75.33556365966797,-119.84222412109375,-182.14974975585938,-664.4779052734375,-632.3015747070312,-649.2512817382812,-647.5717163085938,-594.5303344726562,-758.3521728515625,-553.81396484375,-751.376220703125,-689.0629272460938,-759.7933349609375,-764.8482055664062
39,39,TrialState.PRUNED,-37.81852340698242,2019-06-09 19:15:33.293318,2019-06-09 19:16:53.647903,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-17.17000389099121,-18.672161102294922,-19.695846557617188,-21.978416442871094,-27.61897850036621,-39.7164306640625,-74.58702087402344,-39.3907585144043,-24.52559471130371,-24.27678108215332,-30.872365951538086,-32.61723709106445,-37.81852340698242,,,,,,
