,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
22,22,TrialState.COMPLETE,-44.21490478515625,2019-06-10 15:48:49.720068,2019-06-10 16:22:01.371648,64,0.2,5.604978223170757e-07,0.999,1.0,0.023833916088489043,32,50,22,,-95.63621520996094,-29.836795806884766,-22.824859619140625,-47.24446487426758,-155.49276733398438,-384.56524658203125,-181.97018432617188,-14.465217590332031,-71.66251373291016,-48.80852127075195,-16.455699920654297,-14.33470630645752,-8.458463668823242,-43.36235809326172,-28.564037322998047,-125.89250183105469,-110.5509262084961,-488.47418212890625,-22.536243438720703,-146.8582763671875,-44.21490478515625,
23,23,TrialState.PRUNED,-180.6084442138672,2019-06-10 15:49:05.058428,2019-06-10 16:10:29.577630,64,0.4,5.4006219525472e-05,0.995,0.8,0.0198765982770463,16,5,23,,-17.272668838500977,-19.29802894592285,-34.35901641845703,-49.598472595214844,-23.229995727539062,-10.957104682922363,-44.6838264465332,-179.56211853027344,-57.80195999145508,-32.63782501220703,-57.661590576171875,-94.12255859375,-17.522226333618164,-15.101882934570312,-40.72087860107422,-31.43082618713379,-51.64128875732422,-180.6084442138672,,,,
24,24,TrialState.COMPLETE,-79.97590637207031,2019-06-10 15:49:21.927728,2019-06-10 16:19:05.739843,32,0.4,1.9540034437641563e-05,0.99,0.8,0.002367759441484897,256,50,24,,-17.624868392944336,-18.141101837158203,-19.030181884765625,-21.503925323486328,-23.051315307617188,-24.7556209564209,-28.968769073486328,-29.572784423828125,-44.98662567138672,-56.7236328125,-69.9361343383789,-79.97590637207031,,,,,,,,,,
25,25,TrialState.PRUNED,-17.56557846069336,2019-06-10 15:49:24.847995,2019-06-10 16:15:00.975139,32,0.4,8.878067641292932e-08,0.95,0.9,0.0013926548781363242,2048,50,25,,-17.36388397216797,-16.938047409057617,-17.56557846069336,,,,,,,,,,,,,,,,,,,
26,26,TrialState.PRUNED,-17.58658790588379,2019-06-10 15:49:33.518357,2019-06-10 16:09:29.599036,64,0.4,0.0003670480236778316,0.9999,0.95,0.018450328342774658,2048,10,26,,-16.473758697509766,-17.41289710998535,-17.58658790588379,,,,,,,,,,,,,,,,,,,
27,27,TrialState.PRUNED,-7.83831787109375,2019-06-10 15:51:03.965976,2019-06-10 15:57:32.476866,128,0.2,6.64334020362218e-07,0.9999,0.8,0.8321683742303267,256,20,27,,-4.5229291915893555,-6.155134677886963,-7.83831787109375,,,,,,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,-13.275030136108398,2019-06-10 15:52:12.313646,2019-06-10 15:56:59.866215,256,0.2,0.09815875604204337,0.995,0.8,0.03725688126549441,16,30,28,,-14.038778305053711,-15.342466354370117,-13.275030136108398,,,,,,,,,,,,,,,,,,,
29,29,TrialState.PRUNED,-16.840129852294922,2019-06-10 15:55:43.059458,2019-06-10 16:00:02.723009,128,0.3,0.0028402537195851333,0.99,0.99,6.827120451918659e-05,128,30,29,,-16.375526428222656,-16.436779022216797,-16.840129852294922,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,-17.93769645690918,2019-06-10 15:57:00.195078,2019-06-10 16:04:45.746286,64,0.4,0.07551352065377617,0.99,1.0,1.4659255904751045e-05,128,20,30,,-15.192774772644043,-14.62950611114502,-17.979616165161133,-17.21702003479004,-17.93769645690918,,,,,,,,,,,,,,,,,
31,31,TrialState.COMPLETE,-155.87335205078125,2019-06-10 15:57:32.794861,2019-06-10 16:46:53.311642,128,0.4,1.3073618753698262e-08,0.995,0.99,0.0006721721761007839,64,50,31,,-18.803951263427734,-188.79075622558594,-65.82945251464844,-169.50164794921875,-303.87835693359375,-290.60308837890625,-675.51904296875,-684.4923706054688,-545.1452026367188,-628.5216674804688,-271.6933898925781,-161.72964477539062,-332.7974548339844,-429.71722412109375,-287.2681579589844,-296.4571228027344,-717.8668212890625,-6.527987480163574,-155.87335205078125,,,
32,32,TrialState.PRUNED,-17.160354614257812,2019-06-10 16:00:03.027625,2019-06-10 16:09:40.121695,64,0.2,2.6720375578400264e-05,0.995,0.98,0.0004977589724717272,32,1,32,,-18.53533172607422,-16.576034545898438,-16.707935333251953,-16.61960220336914,-16.013545989990234,-19.09287452697754,-16.936716079711914,-17.90218162536621,-17.160354614257812,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-15.366246223449707,2019-06-10 16:03:47.417642,2019-06-10 16:08:00.976372,32,0.1,2.6149402196570943e-06,0.98,0.99,0.00013171142252691134,128,1,33,,-14.789873123168945,-16.718358993530273,-15.366246223449707,,,,,,,,,,,,,,,,,,,
34,34,TrialState.PRUNED,-79.81544494628906,2019-06-10 16:04:46.082510,2019-06-10 16:27:00.104036,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-16.813631057739258,-17.955726623535156,-19.908472061157227,-21.308481216430664,-22.352975845336914,-26.823139190673828,-40.296897888183594,-78.09381103515625,-68.18570709228516,-77.93577575683594,-79.3292236328125,-75.85924530029297,-83.05011749267578,-78.739990234375,-78.70579528808594,-79.81544494628906,,,,,,
35,35,TrialState.COMPLETE,-669.0072021484375,2019-06-10 16:06:27.520745,2019-06-10 16:38:47.607212,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-19.805644989013672,-22.52124786376953,-27.20916748046875,-44.98687744140625,-47.590370178222656,-66.57090759277344,-75.24198913574219,-104.2764892578125,-68.59847259521484,-141.11087036132812,-351.27630615234375,-570.1898193359375,-657.9424438476562,-514.6370849609375,-668.0172119140625,-669.0072021484375,,,,,,
36,36,TrialState.PRUNED,-16.352834701538086,2019-06-10 16:08:01.284713,2019-06-10 16:13:53.857127,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-16.228233337402344,-17.074604034423828,-16.352834701538086,,,,,,,,,,,,,,,,,,,
37,37,TrialState.PRUNED,-45.284080505371094,2019-06-10 16:09:29.920623,2019-06-10 16:31:35.781570,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-17.69378089904785,-36.82656478881836,-45.013187408447266,-262.5080871582031,-83.38990783691406,-123.28426361083984,-43.93289566040039,-48.18418502807617,-50.5140266418457,-58.536216735839844,-174.73928833007812,-94.6311264038086,-60.82709503173828,-52.547462463378906,-94.65013885498047,-260.595703125,-26.651226043701172,-45.284080505371094,,,,
38,38,TrialState.COMPLETE,-322.5608825683594,2019-06-10 16:09:40.418394,2019-06-10 16:49:37.832929,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-19.370023727416992,-37.92630386352539,-48.759979248046875,-51.79619216918945,-81.40864562988281,-439.014404296875,-440.1790466308594,-470.474609375,-451.823486328125,-579.9668579101562,-718.1891479492188,-593.9334106445312,-731.39697265625,-342.53924560546875,-343.5843811035156,-182.73541259765625,-43.11918640136719,-181.05636596679688,-322.5608825683594,,,
39,39,TrialState.PRUNED,-22.527185440063477,2019-06-10 16:10:29.899891,2019-06-10 16:19:29.134108,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-17.543527603149414,-18.22515106201172,-19.07872772216797,-19.796682357788086,-20.01833724975586,-22.13950538635254,-21.63222885131836,-22.527185440063477,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,-15.786834716796875,2019-06-10 16:12:03.115951,2019-06-10 16:23:18.944282,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-14.539772033691406,-16.494104385375977,-15.786834716796875,,,,,,,,,,,,,,,,,,,
41,41,TrialState.COMPLETE,-594.2894897460938,2019-06-10 16:13:54.183784,2019-06-10 17:09:57.164765,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-17.255767822265625,-21.746395111083984,-44.79723358154297,-50.33723068237305,-104.8829116821289,-558.6171875,-667.3014526367188,-676.7351684570312,-684.6100463867188,-621.2581176757812,-674.4910888671875,-688.4719848632812,-670.2203369140625,-496.0332946777344,-594.2925415039062,-649.7387084960938,-617.10791015625,-555.3619995117188,-656.4699096679688,-663.8302001953125,-594.2894897460938,
42,42,TrialState.PRUNED,-12.283941268920898,2019-06-10 16:14:41.492893,2019-06-10 16:32:56.037420,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,-14.033819198608398,-12.462848663330078,-12.283941268920898,,,,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,-16.334728240966797,2019-06-10 16:15:01.281217,2019-06-10 16:20:49.636841,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-15.412910461425781,-15.839157104492188,-16.334728240966797,,,,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,-14.023272514343262,2019-06-10 16:17:46.379134,2019-06-10 16:29:56.714148,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-17.657981872558594,-13.053362846374512,-14.023272514343262,,,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-13.9674711227417,2019-06-10 16:19:05.774670,2019-06-10 16:23:26.600070,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-14.677797317504883,-13.455172538757324,-13.9674711227417,,,,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,-15.493873596191406,2019-06-10 16:19:29.448363,2019-06-10 16:32:06.709338,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-17.21834373474121,-15.934486389160156,-15.493873596191406,,,,,,,,,,,,,,,,,,,
47,47,TrialState.PRUNED,-17.151203155517578,2019-06-10 16:20:49.955145,2019-06-10 16:30:09.320549,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-16.913419723510742,-13.991287231445312,-17.151203155517578,,,,,,,,,,,,,,,,,,,
48,48,TrialState.PRUNED,-17.852230072021484,2019-06-10 16:21:38.828585,2019-06-10 16:25:13.074276,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-17.92588996887207,-16.732383728027344,-17.852230072021484,,,,,,,,,,,,,,,,,,,
49,49,TrialState.PRUNED,-47.364498138427734,2019-06-10 16:22:01.432967,2019-06-10 16:33:33.409596,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-16.104881286621094,-15.490678787231445,-21.724414825439453,-18.656583786010742,-18.69320297241211,-23.909168243408203,-33.205867767333984,-37.08856964111328,-38.672462463378906,-47.364498138427734,,,,,,,,,,,,
50,50,TrialState.PRUNED,-9.421137809753418,2019-06-10 16:23:19.253779,2019-06-10 16:41:38.040942,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-7.33353328704834,-10.48756217956543,-9.421137809753418,,,,,,,,,,,,,,,,,,,
