,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
24,24,TrialState.PRUNED,-11.526721000671387,2019-08-07 02:33:48.705710,2019-08-07 02:38:10.491600,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,2.3398890495300293,-1.9977470636367798,-9.121063232421875,-5.177653789520264,-6.95901346206665,-12.045093536376953,-11.526721000671387,,,,,,,,,,,,,,
25,25,TrialState.PRUNED,1.5651028156280518,2019-08-07 02:38:10.776546,2019-08-07 02:43:32.187029,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,4.710951805114746,3.5212531089782715,1.5651028156280518,,,,,,,,,,,,,,,,,,
26,26,TrialState.COMPLETE,-193.6538848876953,2019-08-07 02:38:51.412976,2019-08-07 02:53:18.088885,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-3.1702020168304443,-9.507630348205566,-12.797037124633789,-7.22372579574585,-16.691097259521484,-11.97743034362793,-16.44758415222168,-20.409055709838867,-24.786060333251953,-33.21516418457031,-43.05289077758789,-36.59778594970703,-60.0705451965332,-84.42694091796875,-310.5576171875,-156.60714721679688,-133.9736785888672,-235.81369018554688,-142.6521759033203,-290.74041748046875,-193.6538848876953
27,27,TrialState.PRUNED,5.295738220214844,2019-08-07 02:43:32.459414,2019-08-07 02:49:52.897489,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-1.1453940868377686,2.4418373107910156,-7.830862998962402,15.89307975769043,10.957072257995605,10.934318542480469,5.295738220214844,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,6.460990905761719,2019-08-07 02:49:53.116287,2019-08-07 02:51:28.809703,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,3.049652576446533,5.4476423263549805,6.460990905761719,,,,,,,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-08-07 02:51:29.033289,2019-08-07 02:53:13.966541,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,7.485918998718262,2019-08-07 02:53:14.213255,2019-08-07 02:54:33.608035,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,4.642922401428223,-0.8438202142715454,7.485918998718262,,,,,,,,,,,,,,,,,,
31,31,TrialState.PRUNED,11.057953834533691,2019-08-07 02:53:18.109152,2019-08-07 02:59:36.536505,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,23.246917724609375,8.347121238708496,11.057953834533691,,,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-0.16193190217018127,2019-08-07 02:54:33.906735,2019-08-07 02:57:15.858965,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,2.4498238563537598,-1.796522855758667,-0.16193190217018127,,,,,,,,,,,,,,,,,,
33,33,TrialState.PRUNED,21.977563858032227,2019-08-07 02:57:16.170053,2019-08-07 02:58:19.139989,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,16.32906723022461,16.34035873413086,21.977563858032227,,,,,,,,,,,,,,,,,,
