,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,37,TrialState.COMPLETE,-128.86094665527344,2019-08-07 04:26:55.095721,2019-08-07 04:38:34.728044,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-405.07342529296875,-380.170166015625,-256.9393310546875,-105.32106018066406,-42.5499267578125,-49.437225341796875,-87.29054260253906,-30.63864517211914,-35.65702438354492,-75.12507629394531,-78.70418548583984,-247.96890258789062,-124.87767028808594,-170.0841522216797,-177.6470184326172,-262.3079528808594,-231.2406768798828,-113.4092788696289,-128.86094665527344,
38,38,TrialState.PRUNED,-323.63690185546875,2019-08-07 04:28:00.315119,2019-08-07 04:31:40.577339,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-319.130126953125,-318.6720275878906,-323.63690185546875,,,,,,,,,,,,,,,,,
39,39,TrialState.COMPLETE,-344.1049499511719,2019-08-07 04:31:40.779042,2019-08-07 04:45:21.028236,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-412.38641357421875,-373.59649658203125,-367.22369384765625,-438.26519775390625,-456.49627685546875,-268.8531799316406,-264.584716796875,-202.01808166503906,-280.839599609375,-366.2269287109375,-162.92837524414062,-22.64373207092285,-18.71356964111328,-0.9777358770370483,-246.05581665039062,-356.56463623046875,-218.0950469970703,-285.9727478027344,-344.1049499511719,
40,40,TrialState.COMPLETE,-385.3128662109375,2019-08-07 04:38:34.751981,2019-08-07 04:53:20.267219,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-280.95904541015625,-338.4521789550781,-377.86541748046875,-321.9882507324219,-359.1714172363281,-374.2449951171875,-283.47137451171875,-382.86907958984375,-373.92266845703125,-386.6571960449219,-356.6645202636719,-385.3128662109375,,,,,,,,
41,41,TrialState.PRUNED,-368.36859130859375,2019-08-07 04:45:21.051406,2019-08-07 04:48:35.917717,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-352.5781555175781,-300.0696716308594,-368.36859130859375,,,,,,,,,,,,,,,,,
42,42,TrialState.PRUNED,-30.134878158569336,2019-08-07 04:48:36.117195,2019-08-07 04:52:00.235100,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,1.3282963037490845,0.22780489921569824,-30.134878158569336,,,,,,,,,,,,,,,,,
43,43,TrialState.COMPLETE,-456.97222900390625,2019-08-07 04:52:00.438315,2019-08-07 05:12:42.546074,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-344.5416564941406,-370.2501525878906,-375.5281677246094,-344.67132568359375,-377.9175109863281,-405.7550354003906,-404.3377380371094,-404.52923583984375,-427.69671630859375,-414.31866455078125,-433.7431640625,-378.98870849609375,-430.24078369140625,-408.94293212890625,-446.365234375,-456.97222900390625,,,,
44,44,TrialState.PRUNED,-142.79867553710938,2019-08-07 04:53:20.293653,2019-08-07 04:59:05.907539,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-219.09823608398438,-325.6782531738281,-142.79867553710938,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-296.6737365722656,2019-08-07 04:59:06.208655,2019-08-07 05:02:01.800380,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-321.95758056640625,-223.26065063476562,-296.6737365722656,,,,,,,,,,,,,,,,,
46,46,TrialState.COMPLETE,-331.64459228515625,2019-08-07 05:02:02.024302,2019-08-07 05:23:26.734890,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-321.07354736328125,-371.46612548828125,-263.2646484375,-280.49969482421875,-151.49057006835938,-304.2992248535156,-304.8308410644531,-299.90484619140625,-313.79071044921875,-304.7559814453125,-193.6071014404297,-331.64459228515625,,,,,,,,
47,47,TrialState.COMPLETE,-340.2049560546875,2019-08-07 05:12:42.573286,2019-08-07 05:26:00.861986,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-368.61297607421875,-369.77032470703125,-377.9681701660156,-408.4147033691406,-372.9130859375,-415.03302001953125,-383.47357177734375,-325.0310363769531,-385.669677734375,-393.477294921875,-357.86236572265625,-340.2049560546875,,,,,,,,
48,48,TrialState.PRUNED,-349.85211181640625,2019-08-07 05:23:26.764341,2019-08-07 05:25:51.459800,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-350.7511901855469,-339.41998291015625,-349.85211181640625,,,,,,,,,,,,,,,,,
