,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
24,24,TrialState.PRUNED,-10.39407730102539,2019-08-07 02:22:03.931959,2019-08-07 02:24:00.104562,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-11.297677993774414,-9.692663192749023,-10.39407730102539,,,,,,,,,,,,,,,,,,
25,25,TrialState.PRUNED,-10.013599395751953,2019-08-07 02:24:00.292201,2019-08-07 02:29:29.648033,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-10.631315231323242,-9.793360710144043,-10.013599395751953,,,,,,,,,,,,,,,,,,
26,26,TrialState.COMPLETE,-43.74013900756836,2019-08-07 02:29:29.850934,2019-08-07 02:42:37.227291,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-16.825031280517578,-35.823814392089844,-28.27691650390625,-30.819610595703125,-31.12278175354004,-44.192447662353516,-38.553733825683594,-49.82611846923828,-46.26111602783203,-42.720497131347656,-54.29121017456055,-46.458492279052734,-68.32388305664062,-44.31111145019531,-56.536041259765625,-71.57518005371094,-59.137168884277344,-50.139564514160156,-56.466026306152344,-120.48250579833984,-43.74013900756836
27,27,TrialState.PRUNED,-12.964986801147461,2019-08-07 02:31:13.882871,2019-08-07 02:34:06.225815,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-15.110072135925293,-15.748620986938477,-12.964986801147461,,,,,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,-14.321474075317383,2019-08-07 02:34:06.437853,2019-08-07 02:35:44.725861,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-10.743139266967773,-9.993264198303223,-14.321474075317383,,,,,,,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-08-07 02:35:44.999299,2019-08-07 02:37:32.019115,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,-8.694668769836426,2019-08-07 02:37:32.364469,2019-08-07 02:39:02.636112,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-10.006002426147461,-11.100188255310059,-8.694668769836426,,,,,,,,,,,,,,,,,,
31,31,TrialState.PRUNED,-8.678827285766602,2019-08-07 02:39:02.855313,2019-08-07 02:45:38.358089,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-9.140238761901855,-8.828836441040039,-8.678827285766602,,,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-16.56026840209961,2019-08-07 02:42:37.249195,2019-08-07 02:45:15.221212,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-8.926618576049805,-11.214339256286621,-16.56026840209961,,,,,,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-6.036839485168457,2019-08-07 02:45:15.535551,2019-08-07 02:46:14.064287,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-4.635430812835693,-8.192852020263672,-6.036839485168457,,,,,,,,,,,,,,,,,,
