,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
23,23,TrialState.PRUNED,-1470.341552734375,2019-08-07 03:47:55.821705,2019-08-07 03:51:40.610504,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,-1563.279541015625,-1483.976318359375,-1470.341552734375,,,,,,,,,,,,,,,,,
24,24,TrialState.PRUNED,-1567.2760009765625,2019-08-07 03:48:59.505795,2019-08-07 03:52:17.762922,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,-1567.3095703125,-1565.5177001953125,-1567.2760009765625,,,,,,,,,,,,,,,,,
25,25,TrialState.COMPLETE,-1578.0736083984375,2019-08-07 03:51:40.794991,2019-08-07 04:05:36.611293,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,-1549.001708984375,-1576.510986328125,-1631.705810546875,-1595.184326171875,-1553.2950439453125,-1578.0736083984375,,,,,,,,,,,,,,
26,26,TrialState.PRUNED,-1529.019287109375,2019-08-07 03:52:17.947821,2019-08-07 03:56:11.637857,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-1520.696044921875,-1555.0028076171875,-1529.019287109375,,,,,,,,,,,,,,,,,
27,27,TrialState.PRUNED,-1424.5804443359375,2019-08-07 03:56:11.827417,2019-08-07 04:01:01.121848,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-1497.154541015625,-1416.121826171875,-1424.5804443359375,,,,,,,,,,,,,,,,,
28,28,TrialState.COMPLETE,-1578.667724609375,2019-08-07 04:01:01.311501,2019-08-07 04:20:34.076098,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-1590.677001953125,-1539.8675537109375,-1598.6739501953125,-1560.947021484375,-1557.4176025390625,-1586.729248046875,-1549.541259765625,-1556.275390625,-1627.4078369140625,-1643.251220703125,-1553.8740234375,-1579.81298828125,-1596.114990234375,-1550.3951416015625,-1589.1263427734375,-1566.03125,-1615.3521728515625,-1647.947021484375,-1578.667724609375,
29,29,TrialState.FAIL,,2019-08-07 04:05:36.627670,2019-08-07 04:07:23.362928,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,-1424.380615234375,2019-08-07 04:07:23.562454,2019-08-07 04:10:12.865015,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-1426.650146484375,-1410.2003173828125,-1424.380615234375,,,,,,,,,,,,,,,,,
31,31,TrialState.PRUNED,-1407.08837890625,2019-08-07 04:10:13.135531,2019-08-07 04:18:47.380606,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-1422.9580078125,-1456.3502197265625,-1407.08837890625,,,,,,,,,,,,,,,,,
32,32,TrialState.COMPLETE,-1622.525146484375,2019-08-07 04:18:47.658209,2019-08-07 04:37:59.398295,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-1560.517822265625,-1548.9293212890625,-1603.751220703125,-1623.2176513671875,-1570.2520751953125,-1549.611083984375,-1571.643798828125,-1690.577392578125,-1581.0517578125,-1601.2479248046875,-1590.8951416015625,-1579.3760986328125,-1590.3773193359375,-1578.474853515625,-1600.019287109375,-1622.525146484375,,,,
