,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
26,26,TrialState.COMPLETE,-175.05557250976562,2019-08-07 02:21:28.961658,2019-08-07 02:35:40.285335,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,,-16.940200805664062,-28.056055068969727,-74.92513275146484,-198.58773803710938,-121.92951965332031,-147.7025604248047,-195.02926635742188,-278.678466796875,-171.9590301513672,-168.78271484375,-153.88185119628906,-199.94677734375,-161.9154815673828,-160.37353515625,-170.7960968017578,-154.93035888671875,-181.77023315429688,-198.70098876953125,-173.38766479492188,-216.2621612548828,-175.05557250976562
27,27,TrialState.PRUNED,-11.780645370483398,2019-08-07 02:21:44.707209,2019-08-07 02:25:48.671049,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,-17.925235748291016,-14.896245956420898,-13.594507217407227,-14.574028015136719,-11.780645370483398,,,,,,,,,,,,,,,,
28,28,TrialState.PRUNED,-16.69485855102539,2019-08-07 02:25:48.931563,2019-08-07 02:27:10.202866,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,,-13.219400405883789,-16.385549545288086,-16.69485855102539,,,,,,,,,,,,,,,,,,
29,29,TrialState.FAIL,,2019-08-07 02:27:10.466464,2019-08-07 02:28:43.863578,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,Setting status of trial#29 as TrialState.FAIL because of the following error: AssertionError(),,,,,,,,,,,,,,,,,,,,,
30,30,TrialState.PRUNED,-15.838279724121094,2019-08-07 02:28:44.165069,2019-08-07 02:30:00.892898,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,,-13.226701736450195,-13.848855972290039,-15.838279724121094,,,,,,,,,,,,,,,,,,
31,31,TrialState.PRUNED,-9.051103591918945,2019-08-07 02:30:01.149151,2019-08-07 02:35:54.944079,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,-10.343725204467773,-9.749937057495117,-9.051103591918945,,,,,,,,,,,,,,,,,,
32,32,TrialState.PRUNED,-15.929550170898438,2019-08-07 02:35:40.306582,2019-08-07 02:37:34.786480,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,,-15.665006637573242,-13.877527236938477,-15.929550170898438,,,,,,,,,,,,,,,,,,
33,33,TrialState.PRUNED,-8.983986854553223,2019-08-07 02:35:55.156510,2019-08-07 02:36:49.175051,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,,-12.703773498535156,-11.65172004699707,-8.983986854553223,,,,,,,,,,,,,,,,,,
34,34,TrialState.PRUNED,-18.318235397338867,2019-08-07 02:36:49.379630,2019-08-07 02:39:08.271204,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,,-17.137147903442383,-17.894548416137695,-17.967334747314453,-18.318235397338867,,,,,,,,,,,,,,,,,
35,35,TrialState.COMPLETE,-394.42840576171875,2019-08-07 02:37:35.066604,2019-08-07 02:46:41.052558,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,,-15.332226753234863,-23.35099983215332,-33.31279754638672,-74.51150512695312,-109.78045654296875,-117.99836730957031,-171.94985961914062,-275.9247131347656,-325.3636474609375,-382.04669189453125,-611.6907958984375,-325.26971435546875,-621.1775512695312,-664.3936767578125,-658.3141479492188,-597.1256713867188,-417.03826904296875,-687.5626220703125,-394.42840576171875,,
36,36,TrialState.PRUNED,-13.820467948913574,2019-08-07 02:39:08.491021,2019-08-07 02:41:35.364584,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,-16.133411407470703,-14.080256462097168,-13.820467948913574,,,,,,,,,,,,,,,,,,
37,37,TrialState.PRUNED,-15.568689346313477,2019-08-07 02:41:35.574638,2019-08-07 02:42:57.093327,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,,-18.06850242614746,-20.116743087768555,-18.427837371826172,-17.968233108520508,-15.568689346313477,,,,,,,,,,,,,,,,
38,38,TrialState.COMPLETE,-67.02348327636719,2019-08-07 02:42:57.312999,2019-08-07 02:56:50.448449,256,0.2,1.8081137253410953e-07,0.995,0.9,0.0007740325005042988,64,50,38,,-19.263347625732422,-33.900474548339844,-130.57247924804688,-93.70127868652344,-125.58195495605469,-101.8166732788086,-95.49141693115234,-55.82265090942383,-74.5982437133789,-97.5873031616211,-72.73060607910156,-70.83533477783203,-69.71529388427734,-68.28645324707031,-61.48460006713867,-68.34829711914062,-56.2833366394043,-41.85394287109375,-67.02348327636719,,
39,39,TrialState.PRUNED,-18.29155921936035,2019-08-07 02:46:41.078540,2019-08-07 02:49:01.190396,64,0.2,0.0001775478541684561,0.9,0.92,0.02428890130256052,64,5,39,,-17.355937957763672,-18.114063262939453,-16.87945556640625,-24.08024024963379,-26.298656463623047,-18.29155921936035,,,,,,,,,,,,,,,
40,40,TrialState.PRUNED,-12.503026008605957,2019-08-07 02:49:01.414674,2019-08-07 02:51:54.674330,32,0.1,1.3949447164128929e-08,0.9,0.95,0.00020730600560653597,1024,20,40,,-13.898681640625,-12.109491348266602,-12.503026008605957,,,,,,,,,,,,,,,,,,
41,41,TrialState.COMPLETE,-373.2859802246094,2019-08-07 02:51:54.903909,2019-08-07 03:06:49.794059,32,0.1,4.344885695669454e-05,0.99,0.8,0.0004201601508483242,16,20,41,,-20.958126068115234,-25.641759872436523,-32.57209777832031,-78.21635437011719,-62.926727294921875,-66.00133514404297,-214.58779907226562,-352.92529296875,-204.65769958496094,-62.601097106933594,-109.4436264038086,-227.73806762695312,-174.13546752929688,-315.56268310546875,-435.1437072753906,-386.7981872558594,-240.8017120361328,-213.04910278320312,-126.45463562011719,-366.1985778808594,-373.2859802246094
42,42,TrialState.PRUNED,-2.642277240753174,2019-08-07 02:56:50.482712,2019-08-07 02:59:07.464225,256,0.4,0.0005743229814346865,0.999,0.95,0.267108862608456,2048,1,42,,-9.66984748840332,-1.6143954992294312,-2.642277240753174,,,,,,,,,,,,,,,,,,
43,43,TrialState.PRUNED,-15.9679536819458,2019-08-07 02:59:07.734884,2019-08-07 03:01:29.357972,32,0.1,0.014523899055568576,0.95,0.92,0.0001403489514486931,256,30,43,,-14.541483879089355,-13.905008316040039,-15.9679536819458,,,,,,,,,,,,,,,,,,
44,44,TrialState.PRUNED,-11.359930038452148,2019-08-07 03:01:29.586987,2019-08-07 03:05:39.603854,32,0.2,1.1908584291901421e-07,0.99,0.99,0.03613425335660933,1024,50,44,,-17.41765594482422,-15.7817964553833,-11.359930038452148,,,,,,,,,,,,,,,,,,
45,45,TrialState.PRUNED,-13.833473205566406,2019-08-07 03:05:39.813197,2019-08-07 03:06:59.992793,32,0.2,0.0016965094806776332,0.999,0.92,0.10911924295737498,16,10,45,,-10.265640258789062,-6.11344051361084,-13.833473205566406,,,,,,,,,,,,,,,,,,
46,46,TrialState.PRUNED,-12.897287368774414,2019-08-07 03:06:49.823217,2019-08-07 03:10:27.425329,32,0.3,1.7460287879394285e-05,0.95,0.92,0.03329440759811599,1024,50,46,,-13.482151985168457,-15.342951774597168,-12.897287368774414,,,,,,,,,,,,,,,,,,
47,47,TrialState.PRUNED,-14.065463066101074,2019-08-07 03:07:00.236587,2019-08-07 03:08:50.100328,256,0.1,0.0011338735819673377,0.999,0.99,4.208867825414236e-05,1024,10,47,,-15.143716812133789,-15.043251037597656,-14.065463066101074,,,,,,,,,,,,,,,,,,
48,48,TrialState.PRUNED,-15.232316970825195,2019-08-07 03:08:50.392811,2019-08-07 03:09:51.301541,256,0.4,0.0017570370501672756,0.9999,0.92,0.0001222510121705426,32,1,48,,-13.0477933883667,-14.660051345825195,-15.232316970825195,,,,,,,,,,,,,,,,,,
49,49,TrialState.PRUNED,-17.889284133911133,2019-08-07 03:09:51.593782,2019-08-07 03:11:08.211215,32,0.2,0.0005506087863424796,0.98,1.0,0.00027200395354781145,128,5,49,,-13.217391967773438,-16.094146728515625,-19.505388259887695,-17.889284133911133,,,,,,,,,,,,,,,,,
50,50,TrialState.PRUNED,-10.552228927612305,2019-08-07 03:10:27.657952,2019-08-07 03:12:56.540195,128,0.1,0.07767943184460975,0.9,0.9,0.14628186461919243,2048,1,50,,-9.961931228637695,-9.549837112426758,-10.552228927612305,,,,,,,,,,,,,,,,,,
51,51,TrialState.PRUNED,-10.045272827148438,2019-08-07 03:11:08.427621,2019-08-07 03:12:47.865264,32,0.3,0.0001759252676707157,0.9999,0.8,0.08663847110785046,128,30,51,,-14.503730773925781,-9.22609806060791,-10.045272827148438,,,,,,,,,,,,,,,,,,
52,52,TrialState.COMPLETE,-274.03778076171875,2019-08-07 03:12:48.090467,2019-08-07 03:20:38.561166,32,0.1,0.0010207704803777647,0.999,1.0,0.0028929518644642094,64,5,52,,-15.350817680358887,-17.788921356201172,-40.854434967041016,-47.61783981323242,-69.05323028564453,-93.06825256347656,-211.83926391601562,-447.9432678222656,-507.4970703125,-374.66748046875,-376.06011962890625,-294.3199157714844,-422.33319091796875,-504.13916015625,-289.0681457519531,-148.99624633789062,-228.1375732421875,-266.2144775390625,-274.03778076171875,,
53,53,TrialState.PRUNED,-10.734235763549805,2019-08-07 03:12:56.763498,2019-08-07 03:14:59.012044,128,0.4,0.00021141550916886664,0.995,0.9,0.17567816098702876,32,50,53,,-11.859113693237305,-14.921106338500977,-10.734235763549805,,,,,,,,,,,,,,,,,,
54,54,TrialState.PRUNED,-10.77936840057373,2019-08-07 03:14:59.243785,2019-08-07 03:16:13.792768,256,0.2,0.0018835937759167898,0.99,1.0,0.8417078826978407,512,5,54,,-14.863258361816406,-8.6936616897583,-10.77936840057373,,,,,,,,,,,,,,,,,,
55,55,TrialState.PRUNED,-16.500173568725586,2019-08-07 03:16:14.029413,2019-08-07 03:17:40.759177,32,0.1,1.2158856415428877e-06,0.9,1.0,0.0013839460503739724,128,20,55,,-13.583023071289062,-16.96661949157715,-16.500173568725586,,,,,,,,,,,,,,,,,,
